"Main navigation","Main navigation"
"Loading…","Loading…"
"Featured products","Featured products"
"Open menu","Open menu"
"Close menu","Close menu"
"EtechFlow Mega Menu","EtechFlow Mega Menu"
"Mega Menu","Mega Menu"
"Enable Mega Menu","Enable Mega Menu"
"Root Category ID","Root Category ID"
"Maximum Depth","Maximum Depth"
"Dropdown Content","Dropdown Content"
"Featured Products per Category","Featured Products per Category"
"Show Product Thumbnails","Show Product Thumbnails"
"Enable Mobile Drill-Down","Enable Mobile Drill-Down"
"JSON Endpoint Cache TTL (seconds)","JSON Endpoint Cache TTL (seconds)"
